UZAName,Year,VRH,Category
"Atlanta, GA",2014,2621646,Non-Rail
"Atlanta, GA",2014,767815,Rail
"Atlanta, GA",2015,2927266,Non-Rail
"Atlanta, GA",2015,851042,Rail
"Atlanta, GA",2016,3096001,Non-Rail
"Atlanta, GA",2016,852024,Rail
"Atlanta, GA",2017,3234361,Non-Rail
"Atlanta, GA",2017,852814,Rail
"Atlanta, GA",2018,3362334,Non-Rail
"Atlanta, GA",2018,851943,Rail
"Atlanta, GA",2019,3490300,Non-Rail
"Atlanta, GA",2019,854285,Rail
"Atlanta, GA",2020,3175341,Non-Rail
"Atlanta, GA",2020,674124,Rail
"Atlanta, GA",2021,733978,Non-Rail
"Atlanta, GA",2021,168479,Rail
"Atlantic City, NJ",2011,47541,Non-Rail
"Atlantic City, NJ",2012,35710,Non-Rail
"Atlantic City, NJ",2013,26757,Non-Rail
"Atlantic City, NJ",2014,33303,Non-Rail
"Atlantic City, NJ",2015,33548,Non-Rail
"Atlantic City, NJ",2016,33570,Non-Rail
"Atlantic City, NJ",2017,32319,Non-Rail
"Atlantic City, NJ",2018,36130,Non-Rail
"Atlantic City, NJ",2019,36372,Non-Rail
"Atlantic City, NJ",2020,22657,Non-Rail
"Atlantic City, NJ",2021,3528,Non-Rail
"Auburn, AL",2011,32212,Non-Rail
"Augusta-Richmond County, GA-SC",2011,56203,Non-Rail
"Augusta-Richmond County, GA-SC",2012,55368,Non-Rail
"Augusta-Richmond County, GA-SC",2013,54870,Non-Rail
"Augusta-Richmond County, GA-SC",2014,55291,Non-Rail
"Augusta-Richmond County, GA-SC",2015,57307,Non-Rail
"Augusta-Richmond County, GA-SC",2016,60051,Non-Rail
"Augusta-Richmond County, GA-SC",2017,58382,Non-Rail
"Augusta-Richmond County, GA-SC",2018,60702,Non-Rail
"Augusta-Richmond County, GA-SC",2019,56356,Non-Rail
"Augusta-Richmond County, GA-SC",2020,53937,Non-Rail
"Augusta-Richmond County, GA-SC",2021,12442,Non-Rail
"Austin, TX",2011,1416566,Non-Rail
"Austin, TX",2011,8587,Rail
"Austin, TX",2012,1428944,Non-Rail
"Austin, TX",2012,10968,Rail
"Austin, TX",2013,1439895,Non-Rail
"Austin, TX",2013,11526,Rail
