Row Labels,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,,,
"Kansas City, MO-KS",140766,786059,2228942,2108348,2057323,1399344,0,0,0,0,0,,"<tr><td>Kansas City, MO-KS</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>1399344</td><td>2057323</td><td>2108348</td><td>2228942</td><td>786059</td></tr>","{label: 'Kansas City, MO-KS' , data: [0,0,0,0,0,1399344,2057323,2108348,2228942,786059],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Kenosha, WI-IL",460,3845,36658,39569,45120,51145,45947,44465,38825,40128,43164,,"<tr><td>Kenosha, WI-IL</td><td>43164</td><td>40128</td><td>38825</td><td>44465</td><td>45947</td><td>51145</td><td>45120</td><td>39569</td><td>36658</td><td>3845</td></tr>","{label: 'Kenosha, WI-IL' , data: [43164,40128,38825,44465,45947,51145,45120,39569,36658,3845],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Las Vegas-Henderson, NV",0,0,0,0,4816085,4940323,5082158,4548311,4024890,4128134,0,,"<tr><td>Las Vegas-Henderson, NV</td><td>0</td><td>4128134</td><td>4024890</td><td>4548311</td><td>5082158</td><td>4940323</td><td>4816085</td><td>0</td><td>0</td><td>0</td></tr>","{label: 'Las Vegas-Henderson, NV' , data: [0,4128134,4024890,4548311,5082158,4940323,4816085,0,0,0],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Little Rock, AR",0,17196,126882,42912,95118,64570,95220,99500,92543,104818,100402,,"<tr><td>Little Rock, AR</td><td>100402</td><td>104818</td><td>92543</td><td>99500</td><td>95220</td><td>64570</td><td>95118</td><td>42912</td><td>126882</td><td>17196</td></tr>","{label: 'Little Rock, AR' , data: [100402,104818,92543,99500,95220,64570,95118,42912,126882,17196],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Los Angeles-Long Beach-Anaheim, CA",9947597,56095968,105812191,121589714,127013353,125290740,120958877,126460092,128051364,123092957,109507007,,"<tr><td>Los Angeles-Long Beach-Anaheim, CA</td><td>109507007</td><td>123092957</td><td>128051364</td><td>126460092</td><td>120958877</td><td>125290740</td><td>127013353</td><td>121589714</td><td>105812191</td><td>56095968</td></tr>","{label: 'Los Angeles-Long Beach-Anaheim, CA' , data: [109507007,123092957,128051364,126460092,120958877,125290740,127013353,121589714,105812191,56095968],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Memphis, TN-MS-AR",31662,101044,366666,302076,0,0,0,485131,1366026,1492954,1157427,,"<tr><td>Memphis, TN-MS-AR</td><td>1157427</td><td>1492954</td><td>1366026</td><td>485131</td><td>0</td><td>0</td><td>0</td><td>302076</td><td>366666</td><td>101044</td></tr>","{label: 'Memphis, TN-MS-AR' , data: [1157427,1492954,1366026,485131,0,0,0,302076,366666,101044],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Miami, FL",3804479,15754018,31619661,32562357,33146008,35525702,36168130,36060891,35302685,32569637,22243309,,"<tr><td>Miami, FL</td><td>22243309</td><td>32569637</td><td>35302685</td><td>36060891</td><td>36168130</td><td>35525702</td><td>33146008</td><td>32562357</td><td>31619661</td><td>15754018</td></tr>","{label: 'Miami, FL' , data: [22243309,32569637,35302685,36060891,36168130,35525702,33146008,32562357,31619661,15754018],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Milwaukee, WI",39248,261303,760321,156683,0,0,0,0,0,0,0,,"<tr><td>Milwaukee, WI</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>156683</td><td>760321</td><td>261303</td></tr>","{label: 'Milwaukee, WI' , data: [0,0,0,0,0,0,0,156683,760321,261303],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Minneapolis-St. Paul, MN-WI",2275010,10407975,26067210,25742944,24604793,23674796,23726094,16721206,10950158,11198514,11104281,,"<tr><td>Minneapolis-St. Paul, MN-WI</td><td>11104281</td><td>11198514</td><td>10950158</td><td>16721206</td><td>23726094</td><td>23674796</td><td>24604793</td><td>25742944</td><td>26067210</td><td>10407975</td></tr>","{label: 'Minneapolis-St. Paul, MN-WI' , data: [11104281,11198514,10950158,16721206,23726094,23674796,24604793,25742944,26067210,10407975],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Morgantown, WV",0,405835,1744629,1585701,2031521,2083575,2335375,2299875,2408935,1363463,0,,"<tr><td>Morgantown, WV</td><td>0</td><td>1363463</td><td>2408935</td><td>2299875</td><td>2335375</td><td>2083575</td><td>2031521</td><td>1585701</td><td>1744629</td><td>405835</td></tr>","{label: 'Morgantown, WV' , data: [0,1363463,2408935,2299875,2335375,2083575,2031521,1585701,1744629,405835],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Nashville-Davidson, TN",7472,77245,293314,298765,299112,283174,273878,258023,243496,264874,281173,,"<tr><td>Nashville-Davidson, TN</td><td>281173</td><td>264874</td><td>243496</td><td>258023</td><td>273878</td><td>283174</td><td>299112</td><td>298765</td><td>293314</td><td>77245</td></tr>","{label: 'Nashville-Davidson, TN' , data: [281173,264874,243496,258023,273878,283174,299112,298765,293314,77245],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"New Orleans, LA",522254,2014256,5289326,7747491,8097699,8074975,7281648,7457260,8650376,7228998,6602396,,"<tr><td>New Orleans, LA</td><td>6602396</td><td>7228998</td><td>8650376</td><td>7457260</td><td>7281648</td><td>8074975</td><td>8097699</td><td>7747491</td><td>5289326</td><td>2014256</td></tr>","{label: 'New Orleans, LA' , data: [6602396,7228998,8650376,7457260,7281648,8074975,8097699,7747491,5289326,2014256],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"New York-Newark, NY-NJ-CT",254680655,1257302472,3141606016,3037490483,3102333329,3081287401,3058851663,3146508930,3037540313,2938021192,2883841588,,"<tr><td>New York-Newark, NY-NJ-CT</td><td>2883841588</td><td>2938021192</td><td>3037540313</td><td>3146508930</td><td>3058851663</td><td>3081287401</td><td>3102333329</td><td>3037490483</td><td>3141606016</td><td>1257302472</td></tr>","{label: 'New York-Newark, NY-NJ-CT' , data: [2883841588,2938021192,3037540313,3146508930,3058851663,3081287401,3102333329,3037490483,3141606016,1257302472],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Oklahoma City, OK",120744,531726,365678,0,0,0,0,0,0,0,0,,"<tr><td>Oklahoma City, OK</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>365678</td><td>531726</td></tr>","{label: 'Oklahoma City, OK' , data: [0,0,0,0,0,0,0,0,365678,531726],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Orlando, FL",159541,749544,1571656,1114859,851881,887224,972546,616411,0,0,0,,"<tr><td>Orlando, FL</td><td>0</td><td>0</td><td>0</td><td>616411</td><td>972546</td><td>887224</td><td>851881</td><td>1114859</td><td>1571656</td><td>749544</td></tr>","{label: 'Orlando, FL' , data: [0,0,0,616411,972546,887224,851881,1114859,1571656,749544],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Philadelphia, PA-NJ-DE-MD",10450957,64457817,163561943,163833230,164146848,169157443,176782987,174389854,176846589,176161323,177133051,,"<tr><td>Philadelphia, PA-NJ-DE-MD</td><td>177133051</td><td>176161323</td><td>176846589</td><td>174389854</td><td>176782987</td><td>169157443</td><td>164146848</td><td>163833230</td><td>163561943</td><td>64457817</td></tr>","{label: 'Philadelphia, PA-NJ-DE-MD' , data: [177133051,176161323,176846589,174389854,176782987,169157443,164146848,163833230,163561943,64457817],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Phoenix-Mesa, AZ",1570124,8557187,15060207,15406410,16268923,16303599,14759817,14263662,14226293,14042008,13161638,,"<tr><td>Phoenix-Mesa, AZ</td><td>13161638</td><td>14042008</td><td>14226293</td><td>14263662</td><td>14759817</td><td>16303599</td><td>16268923</td><td>15406410</td><td>15060207</td><td>8557187</td></tr>","{label: 'Phoenix-Mesa, AZ' , data: [13161638,14042008,14226293,14263662,14759817,16303599,16268923,15406410,15060207,8557187],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Pittsburgh, PA",362472,2608017,7795965,7920730,8368822,8354163,8707451,8775034,8857679,8992620,7882986,,"<tr><td>Pittsburgh, PA</td><td>7882986</td><td>8992620</td><td>8857679</td><td>8775034</td><td>8707451</td><td>8354163</td><td>8368822</td><td>7920730</td><td>7795965</td><td>2608017</td></tr>","{label: 'Pittsburgh, PA' , data: [7882986,8992620,8857679,8775034,8707451,8354163,8368822,7920730,7795965,2608017],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Portland, ME",18917,146402,574692,533949,546056,493452,426828,496643,555947,555196,518483,,"<tr><td>Portland, ME</td><td>518483</td><td>555196</td><td>555947</td><td>496643</td><td>426828</td><td>493452</td><td>546056</td><td>533949</td><td>574692</td><td>146402</td></tr>","{label: 'Portland, ME' , data: [518483,555196,555947,496643,426828,493452,546056,533949,574692,146402],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Portland, OR-WA",3787525,21333552,42847276,44138193,44309754,45605293,43138924,43251812,43160415,45044570,46283738,,"<tr><td>Portland, OR-WA</td><td>46283738</td><td>45044570</td><td>43160415</td><td>43251812</td><td>43138924</td><td>45605293</td><td>44309754</td><td>44138193</td><td>42847276</td><td>21333552</td></tr>","{label: 'Portland, OR-WA' , data: [46283738,45044570,43160415,43251812,43138924,45605293,44309754,44138193,42847276,21333552],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Sacramento, CA",882347,5329875,10710049,9801510,11150668,11805176,11953072,12701588,13364617,13586505,12816310,,"<tr><td>Sacramento, CA</td><td>12816310</td><td>13586505</td><td>13364617</td><td>12701588</td><td>11953072</td><td>11805176</td><td>11150668</td><td>9801510</td><td>10710049</td><td>5329875</td></tr>","{label: 'Sacramento, CA' , data: [12816310,13586505,13364617,12701588,11953072,11805176,11150668,9801510,10710049,5329875],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Salt Lake City-West Valley City, UT",2059785,10271888,22321887,22981884,23677677,23765873,24349673,24337460,22798371,19421608,16938895,,"<tr><td>Salt Lake City-West Valley City, UT</td><td>16938895</td><td>19421608</td><td>22798371</td><td>24337460</td><td>24349673</td><td>23765873</td><td>23677677</td><td>22981884</td><td>22321887</td><td>10271888</td></tr>","{label: 'Salt Lake City-West Valley City, UT' , data: [16938895,19421608,22798371,24337460,24349673,23765873,23677677,22981884,22321887,10271888],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"San Diego, CA",4738817,23481904,41885780,40977876,41229640,42273875,45064757,44035646,38102558,35279118,36694624,,"<tr><td>San Diego, CA</td><td>36694624</td><td>35279118</td><td>38102558</td><td>44035646</td><td>45064757</td><td>42273875</td><td>41229640</td><td>40977876</td><td>41885780</td><td>23481904</td></tr>","{label: 'San Diego, CA' , data: [36694624,35279118,38102558,44035646,45064757,42273875,41229640,40977876,41885780,23481904],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"San Francisco-Oakland, CA",5122431,54980192,207373377,210599845,211265141,217498595,217874636,219172443,198858331,195606009,185128530,,"<tr><td>San Francisco-Oakland, CA</td><td>185128530</td><td>195606009</td><td>198858331</td><td>219172443</td><td>217874636</td><td>217498595</td><td>211265141</td><td>210599845</td><td>207373377</td><td>54980192</td></tr>","{label: 'San Francisco-Oakland, CA' , data: [185128530,195606009,198858331,219172443,217874636,217498595,211265141,210599845,207373377,54980192],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"San Jose, CA",573594,3175194,8350771,8535960,8659796,9926937,11028467,11366605,10864913,10483460,10219464,,"<tr><td>San Jose, CA</td><td>10219464</td><td>10483460</td><td>10864913</td><td>11366605</td><td>11028467</td><td>9926937</td><td>8659796</td><td>8535960</td><td>8350771</td><td>3175194</td></tr>","{label: 'San Jose, CA' , data: [10219464,10483460,10864913,11366605,11028467,9926937,8659796,8535960,8350771,3175194],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"San Juan, PR",290658,1137544,5234509,5193328,4835070,7897414,8505389,10088183,10993112,11023723,10769989,,"<tr><td>San Juan, PR</td><td>10769989</td><td>11023723</td><td>10993112</td><td>10088183</td><td>8505389</td><td>7897414</td><td>4835070</td><td>5193328</td><td>5234509</td><td>1137544</td></tr>","{label: 'San Juan, PR' , data: [10769989,11023723,10993112,10088183,8505389,7897414,4835070,5193328,5234509,1137544],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Santa Rosa, CA",24073,247989,717913,717021,289506,0,0,0,0,0,0,,"<tr><td>Santa Rosa, CA</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>289506</td><td>717021</td><td>717913</td><td>247989</td></tr>","{label: 'Santa Rosa, CA' , data: [0,0,0,0,0,0,289506,717021,717913,247989],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Seattle, WA",1738940,10674886,34113689,33706879,31967815,27863422,19270832,18143144,16513980,15393499,12048088,,"<tr><td>Seattle, WA</td><td>12048088</td><td>15393499</td><td>16513980</td><td>18143144</td><td>19270832</td><td>27863422</td><td>31967815</td><td>33706879</td><td>34113689</td><td>10674886</td></tr>","{label: 'Seattle, WA' , data: [12048088,15393499,16513980,18143144,19270832,27863422,31967815,33706879,34113689,10674886],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
