UZAName,Year,Average of VOMS,Category
"Erie, PA",2011,58.75,Non-Rail
"Erie, PA",2012,58.04,Non-Rail
"Erie, PA",2013,57.42,Non-Rail
"Erie, PA",2014,55.67,Non-Rail
"Erie, PA",2015,55.50,Non-Rail
"Erie, PA",2016,56.38,Non-Rail
"Erie, PA",2017,54.29,Non-Rail
"Erie, PA",2018,53.96,Non-Rail
"Erie, PA",2019,50.00,Non-Rail
"Erie, PA",2020,32.67,Non-Rail
"Erie, PA",2021,29.50,Non-Rail
"Eugene, OR",2011,57.45,Non-Rail
"Eugene, OR",2012,46.22,Non-Rail
"Eugene, OR",2013,44.19,Non-Rail
"Eugene, OR",2014,49.92,Non-Rail
"Eugene, OR",2015,51.31,Non-Rail
"Eugene, OR",2016,46.40,Non-Rail
"Eugene, OR",2017,39.54,Non-Rail
"Eugene, OR",2018,35.93,Non-Rail
"Eugene, OR",2019,35.94,Non-Rail
"Eugene, OR",2020,20.42,Non-Rail
"Eugene, OR",2021,17.00,Non-Rail
"Evansville, IN-KY",2011,17.25,Non-Rail
"Evansville, IN-KY",2012,18.63,Non-Rail
"Evansville, IN-KY",2013,18.04,Non-Rail
"Evansville, IN-KY",2014,18.29,Non-Rail
"Evansville, IN-KY",2015,18.33,Non-Rail
"Evansville, IN-KY",2016,17.96,Non-Rail
"Evansville, IN-KY",2017,17.00,Non-Rail
"Evansville, IN-KY",2018,16.96,Non-Rail
"Evansville, IN-KY",2019,16.29,Non-Rail
"Evansville, IN-KY",2020,14.00,Non-Rail
"Evansville, IN-KY",2021,12.67,Non-Rail
"Fairbanks, AK",2011,7.00,Non-Rail
"Fairbanks, AK",2012,7.83,Non-Rail
"Fairfield, CA",2011,17.60,Non-Rail
"Fairfield, CA",2012,15.50,Non-Rail
"Fairfield, CA",2013,21.50,Non-Rail
"Fairfield, CA",2014,17.10,Non-Rail
"Fairfield, CA",2015,13.83,Non-Rail
"Fairfield, CA",2016,14.11,Non-Rail
"Fairfield, CA",2017,14.33,Non-Rail
"Fairfield, CA",2018,13.67,Non-Rail
"Fairfield, CA",2019,13.00,Non-Rail
"Fairfield, CA",2020,9.42,Non-Rail
"Fairfield, CA",2021,9.67,Non-Rail
"Fargo, ND-MN",2011,9.88,Non-Rail
"Fargo, ND-MN",2012,10.50,Non-Rail
"Fargo, ND-MN",2013,10.44,Non-Rail
"Fargo, ND-MN",2014,10.79,Non-Rail
"Fargo, ND-MN",2015,10.96,Non-Rail
"Fargo, ND-MN",2016,11.06,Non-Rail
"Fargo, ND-MN",2017,11.29,Non-Rail
"Fargo, ND-MN",2018,11.17,Non-Rail
"Fargo, ND-MN",2019,11.38,Non-Rail
"Fargo, ND-MN",2020,10.40,Non-Rail
"Fargo, ND-MN",2021,10.10,Non-Rail
"Fayetteville, NC",2011,14.25,Non-Rail
"Fayetteville, NC",2012,15.00,Non-Rail
"Fayetteville, NC",2013,15.25,Non-Rail
"Fayetteville, NC",2014,16.29,Non-Rail
"Fayetteville, NC",2015,17.08,Non-Rail
"Fayetteville, NC",2016,13.71,Non-Rail
"Fayetteville, NC",2017,18.42,Non-Rail
"Fayetteville, NC",2018,18.25,Non-Rail
"Fayetteville, NC",2019,17.71,Non-Rail
"Fayetteville, NC",2020,17.17,Non-Rail
"Fayetteville, NC",2021,17.33,Non-Rail
"Fayetteville-Springdale-Rogers, AR-MO",2011,9.31,Non-Rail
"Fayetteville-Springdale-Rogers, AR-MO",2012,8.92,Non-Rail
"Fayetteville-Springdale-Rogers, AR-MO",2013,9.38,Non-Rail
"Fayetteville-Springdale-Rogers, AR-MO",2014,11.46,Non-Rail
"Fayetteville-Springdale-Rogers, AR-MO",2015,12.79,Non-Rail
"Fayetteville-Springdale-Rogers, AR-MO",2016,13.21,Non-Rail
"Fayetteville-Springdale-Rogers, AR-MO",2017,13.13,Non-Rail
"Fayetteville-Springdale-Rogers, AR-MO",2018,10.79,Non-Rail
"Flagstaff, AZ",2011,9.83,Non-Rail
"Flagstaff, AZ",2012,10.75,Non-Rail
"Flagstaff, AZ",2013,10.50,Non-Rail
"Flagstaff, AZ",2014,10.58,Non-Rail
"Flagstaff, AZ",2015,9.93,Non-Rail
"Flagstaff, AZ",2016,9.67,Non-Rail
"Flagstaff, AZ",2017,10.39,Non-Rail
"Flagstaff, AZ",2018,10.03,Non-Rail
"Flagstaff, AZ",2019,9.56,Non-Rail
"Flagstaff, AZ",2020,8.06,Non-Rail
"Flagstaff, AZ",2021,9.44,Non-Rail
"Flint, MI",2011,56.67,Non-Rail
"Flint, MI",2012,55.64,Non-Rail
"Flint, MI",2013,57.78,Non-Rail
"Flint, MI",2014,58.36,Non-Rail
"Flint, MI",2015,59.75,Non-Rail
"Flint, MI",2016,63.11,Non-Rail
"Flint, MI",2017,70.08,Non-Rail
"Flint, MI",2018,75.81,Non-Rail
"Flint, MI",2019,82.36,Non-Rail
"Flint, MI",2020,60.64,Non-Rail
"Flint, MI",2021,69.83,Non-Rail
"Florence, AL",2011,53.00,Non-Rail
"Florence, AL",2012,40.00,Non-Rail
"Florence, AL",2013,40.00,Non-Rail
"Florence, AL",2014,42.00,Non-Rail
"Florence, AL",2015,42.00,Non-Rail
"Florence, AL",2016,34.20,Non-Rail
"Florence, AL",2017,23.42,Non-Rail
"Florence, AL",2018,24.25,Non-Rail
"Florence, AL",2019,22.17,Non-Rail
"Florence, AL",2020,14.21,Non-Rail
"Florence, AL",2021,14.67,Non-Rail
"Florence, SC",2011,34.67,Non-Rail
"Florence, SC",2012,36.04,Non-Rail
"Florence, SC",2013,23.92,Non-Rail
"Fond du Lac, WI",2011,4.65,Non-Rail
"Fond du Lac, WI",2012,4.65,Non-Rail
"Fort Collins, CO",2011,25.25,Non-Rail
"Fort Collins, CO",2012,22.35,Non-Rail
"Fort Collins, CO",2013,19.90,Non-Rail
"Fort Collins, CO",2014,18.90,Non-Rail
"Fort Collins, CO",2015,17.83,Non-Rail
"Fort Collins, CO",2016,16.90,Non-Rail
"Fort Collins, CO",2017,13.91,Non-Rail
"Fort Collins, CO",2018,13.38,Non-Rail
"Fort Collins, CO",2019,13.47,Non-Rail
"Fort Collins, CO",2020,12.68,Non-Rail
"Fort Collins, CO",2021,11.54,Non-Rail
"Fort Smith, AR-OK",2011,4.67,Non-Rail
"Fort Smith, AR-OK",2012,5.00,Non-Rail
"Fort Smith, AR-OK",2013,5.50,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2011,22.00,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2012,22.00,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2013,22.00,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2014,21.21,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2015,21.04,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2016,21.58,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2017,21.38,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2018,20.42,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2019,21.00,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2020,21.00,Non-Rail
"Fort Walton Beach-Navarre-Wright, FL",2021,21.00,Non-Rail
"Fort Wayne, IN",2011,20.00,Non-Rail
"Fort Wayne, IN",2012,20.00,Non-Rail
"Fort Wayne, IN",2013,20.00,Non-Rail
"Fort Wayne, IN",2014,20.17,Non-Rail
"Fort Wayne, IN",2015,20.58,Non-Rail
"Fort Wayne, IN",2016,21.00,Non-Rail
"Fort Wayne, IN",2017,21.50,Non-Rail
"Fort Wayne, IN",2018,23.00,Non-Rail
"Fort Wayne, IN",2019,23.00,Non-Rail
"Fort Wayne, IN",2020,24.50,Non-Rail
"Fort Wayne, IN",2021,29.50,Non-Rail
"Frederick, MD",2011,18.00,Non-Rail
"Frederick, MD",2012,17.50,Non-Rail
"Frederick, MD",2013,17.00,Non-Rail
"Frederick, MD",2014,17.00,Non-Rail
"Frederick, MD",2015,17.50,Non-Rail
"Frederick, MD",2016,18.00,Non-Rail
"Frederick, MD",2017,17.67,Non-Rail
"Frederick, MD",2018,18.00,Non-Rail
"Frederick, MD",2019,18.75,Non-Rail
"Frederick, MD",2020,18.25,Non-Rail
"Frederick, MD",2021,17.00,Non-Rail
"Fredericksburg, VA",2011,21.17,Non-Rail
"Fresno, CA",2011,61.92,Non-Rail
"Fresno, CA",2012,61.04,Non-Rail
"Fresno, CA",2013,62.33,Non-Rail
"Fresno, CA",2014,62.46,Non-Rail
"Fresno, CA",2015,63.58,Non-Rail
"Fresno, CA",2016,63.54,Non-Rail
"Fresno, CA",2017,68.79,Non-Rail
"Fresno, CA",2018,74.54,Non-Rail
"Fresno, CA",2019,73.13,Non-Rail
"Fresno, CA",2020,68.42,Non-Rail
"Fresno, CA",2021,69.00,Non-Rail
"Gainesville, FL",2011,62.17,Non-Rail
"Gainesville, FL",2012,62.83,Non-Rail
"Gainesville, FL",2013,64.67,Non-Rail
"Gainesville, FL",2014,66.08,Non-Rail
"Gainesville, FL",2015,66.96,Non-Rail
"Gainesville, FL",2016,59.81,Non-Rail
"Gainesville, FL",2017,48.36,Non-Rail
"Gainesville, FL",2018,50.03,Non-Rail
"Gainesville, FL",2019,51.50,Non-Rail
"Gainesville, FL",2020,50.54,Non-Rail
"Gainesville, FL",2021,43.56,Non-Rail
"Gainesville, GA",2011,7.33,Non-Rail
"Gainesville, GA",2012,7.75,Non-Rail
"Gainesville, GA",2013,7.88,Non-Rail
"Gainesville, GA",2014,7.50,Non-Rail
"Galveston, TX",2011,7.88,Non-Rail
"Galveston, TX",2012,6.67,Non-Rail
"Glens Falls, NY",2011,3.50,Non-Rail
"Grand Forks, ND-MN",2011,9.79,Non-Rail
"Grand Forks, ND-MN",2012,8.58,Non-Rail
"Grand Forks, ND-MN",2013,8.71,Non-Rail
"Grand Forks, ND-MN",2014,8.79,Non-Rail
"Grand Forks, ND-MN",2015,8.58,Non-Rail
"Grand Forks, ND-MN",2016,8.96,Non-Rail
"Grand Forks, ND-MN",2017,9.04,Non-Rail
"Grand Forks, ND-MN",2018,9.88,Non-Rail
"Grand Forks, ND-MN",2019,10.04,Non-Rail
"Grand Forks, ND-MN",2020,9.25,Non-Rail
"Grand Forks, ND-MN",2021,10.67,Non-Rail
"Grand Junction, CO",2011,8.25,Non-Rail
"Grand Junction, CO",2012,8.29,Non-Rail
"Grand Junction, CO",2013,8.00,Non-Rail
"Grand Junction, CO",2014,8.00,Non-Rail
"Grand Junction, CO",2015,8.00,Non-Rail
"Grand Rapids, MI",2011,55.63,Non-Rail
"Grand Rapids, MI",2012,67.31,Non-Rail
"Grand Rapids, MI",2013,88.17,Non-Rail
"Grand Rapids, MI",2014,77.68,Non-Rail
"Grand Rapids, MI",2015,59.40,Non-Rail
"Grand Rapids, MI",2016,58.54,Non-Rail
"Grand Rapids, MI",2017,56.67,Non-Rail
"Grand Rapids, MI",2018,56.42,Non-Rail
"Grand Rapids, MI",2019,59.81,Non-Rail
"Grand Rapids, MI",2020,36.75,Non-Rail
"Grand Rapids, MI",2021,37.00,Non-Rail
"Great Falls, MT",2011,9.50,Non-Rail
"Great Falls, MT",2012,9.50,Non-Rail
"Great Falls, MT",2013,9.50,Non-Rail
"Great Falls, MT",2014,9.50,Non-Rail
"Great Falls, MT",2015,9.92,Non-Rail
"Great Falls, MT",2016,10.00,Non-Rail
"Great Falls, MT",2017,10.00,Non-Rail
"Great Falls, MT",2018,10.50,Non-Rail
"Great Falls, MT",2019,10.63,Non-Rail
"Great Falls, MT",2020,10.57,Non-Rail
"Great Falls, MT",2021,11.00,Non-Rail
"Greeley, CO",2011,9.29,Non-Rail
"Greeley, CO",2012,9.17,Non-Rail
"Greeley, CO",2013,8.63,Non-Rail
"Green Bay, WI",2011,23.75,Non-Rail
"Green Bay, WI",2012,19.92,Non-Rail
"Green Bay, WI",2013,18.71,Non-Rail
"Green Bay, WI",2014,18.50,Non-Rail
"Green Bay, WI",2015,17.42,Non-Rail
"Green Bay, WI",2016,17.92,Non-Rail
"Green Bay, WI",2017,16.50,Non-Rail
"Green Bay, WI",2018,15.25,Non-Rail
"Green Bay, WI",2019,14.50,Non-Rail
"Green Bay, WI",2020,10.42,Non-Rail
"Green Bay, WI",2021,12.17,Non-Rail
"Greensboro, NC",2011,37.82,Non-Rail
"Greensboro, NC",2012,37.63,Non-Rail
"Greensboro, NC",2013,36.91,Non-Rail
"Greensboro, NC",2014,36.85,Non-Rail
"Greensboro, NC",2015,38.06,Non-Rail
"Greensboro, NC",2016,39.73,Non-Rail
"Greensboro, NC",2017,40.00,Non-Rail
"Greensboro, NC",2018,40.42,Non-Rail
"Greensboro, NC",2019,41.52,Non-Rail
"Greensboro, NC",2020,28.81,Non-Rail
"Greensboro, NC",2021,28.08,Non-Rail
"Greenville, SC",2011,7.08,Non-Rail
"Greenville, SC",2012,7.00,Non-Rail
"Greenville, SC",2013,7.83,Non-Rail
"Greenville, SC",2014,10.71,Non-Rail
"Greenville, SC",2015,11.27,Non-Rail
"Greenville, SC",2016,12.17,Non-Rail
"Greenville, SC",2017,13.14,Non-Rail
"Greenville, SC",2018,13.42,Non-Rail
"Greenville, SC",2019,12.33,Non-Rail
"Greenville, SC",2020,11.36,Non-Rail
"Greenville, SC",2021,13.33,Non-Rail
"Gulfport, MS",2011,26.19,Non-Rail
"Gulfport, MS",2012,25.39,Non-Rail
"Gulfport, MS",2013,25.58,Non-Rail
"Gulfport, MS",2014,25.64,Non-Rail
"Gulfport, MS",2015,23.78,Non-Rail
"Gulfport, MS",2016,22.81,Non-Rail
"Gulfport, MS",2017,21.39,Non-Rail
"Gulfport, MS",2018,20.94,Non-Rail
"Gulfport, MS",2019,21.31,Non-Rail
"Gulfport, MS",2020,15.31,Non-Rail
"Gulfport, MS",2021,15.13,Non-Rail
"Hagerstown, MD-WV-PA",2011,5.00,Non-Rail
"Hanford, CA",2011,136.25,Non-Rail
"Hanford, CA",2012,211.46,Non-Rail
"Hanford, CA",2013,157.39,Non-Rail
"Hanford, CA",2014,163.97,Non-Rail
"Hanford, CA",2015,164.22,Non-Rail
"Hanford, CA",2016,174.17,Non-Rail
"Hanford, CA",2017,191.28,Non-Rail
"Hanford, CA",2018,209.11,Non-Rail
"Hanford, CA",2019,228.89,Non-Rail
"Hanford, CA",2020,189.60,Non-Rail
"Hanford, CA",2021,135.58,Non-Rail
"Harrisburg, PA",2011,23.59,Non-Rail
"Harrisburg, PA",2012,26.20,Non-Rail
"Harrisburg, PA",2013,26.67,Non-Rail
"Harrisburg, PA",2014,27.58,Non-Rail
"Harrisburg, PA",2015,27.46,Non-Rail
"Harrisburg, PA",2016,26.73,Non-Rail
"Harrisburg, PA",2017,27.92,Non-Rail
"Harrisburg, PA",2018,29.13,Non-Rail
"Harrisburg, PA",2019,28.63,Non-Rail
"Harrisburg, PA",2020,27.79,Non-Rail
"Harrisburg, PA",2021,26.75,Non-Rail
"Harrisonburg, VA",2011,10.72,Non-Rail
"Harrisonburg, VA",2012,16.17,Non-Rail
"Harrisonburg, VA",2013,16.08,Non-Rail
"Harrisonburg, VA",2014,17.00,Non-Rail
"Harrisonburg, VA",2015,17.25,Non-Rail
"Harrisonburg, VA",2016,17.33,Non-Rail
"Harrisonburg, VA",2017,17.75,Non-Rail
"Harrisonburg, VA",2018,17.92,Non-Rail
"Harrisonburg, VA",2019,18.83,Non-Rail
"Harrisonburg, VA",2020,15.50,Non-Rail
"Harrisonburg, VA",2021,16.50,Non-Rail
"Hartford, CT",2011,81.71,Non-Rail
"Hartford, CT",2011,28.00,Rail
"Hartford, CT",2012,64.94,Non-Rail
"Hartford, CT",2012,28.00,Rail
"Hartford, CT",2013,63.39,Non-Rail
"Hartford, CT",2013,28.00,Rail
"Hartford, CT",2014,57.42,Non-Rail
"Hartford, CT",2014,28.00,Rail
"Hartford, CT",2015,46.38,Non-Rail
"Hartford, CT",2015,28.00,Rail
"Hartford, CT",2016,48.39,Non-Rail
"Hartford, CT",2016,28.00,Rail
"Hartford, CT",2017,54.05,Non-Rail
"Hartford, CT",2017,28.25,Rail
"Hartford, CT",2018,61.10,Non-Rail
"Hartford, CT",2018,29.50,Rail
"Hartford, CT",2019,62.86,Non-Rail
"Hartford, CT",2019,29.50,Rail
"Hartford, CT",2020,59.18,Non-Rail
"Hartford, CT",2020,19.00,Rail
"Hartford, CT",2021,63.56,Non-Rail
"Hickory, NC",2011,20.20,Non-Rail
"Hickory, NC",2012,21.00,Non-Rail
"Hickory, NC",2013,22.53,Non-Rail
"Hickory, NC",2014,24.50,Non-Rail
"Hickory, NC",2015,24.50,Non-Rail
"Hickory, NC",2016,24.50,Non-Rail
"Hickory, NC",2017,24.50,Non-Rail
"Hickory, NC",2018,25.00,Non-Rail
"Hickory, NC",2019,26.50,Non-Rail
"Hickory, NC",2020,26.50,Non-Rail
"Hickory, NC",2021,26.50,Non-Rail
"High Point, NC",2011,5.97,Non-Rail
"Holland, MI",2011,10.17,Non-Rail
"Holland, MI",2012,10.33,Non-Rail
"Holland, MI",2013,10.50,Non-Rail
"Holland, MI",2014,10.50,Non-Rail
"Holland, MI",2015,10.13,Non-Rail
"Holland, MI",2016,9.92,Non-Rail
"Holland, MI",2017,10.83,Non-Rail
"Holland, MI",2018,11.50,Non-Rail
"Holland, MI",2019,11.46,Non-Rail
"Holland, MI",2020,12.40,Non-Rail
"Holland, MI",2021,11.00,Non-Rail
"Houston, TX",2011,237.14,Non-Rail
"Houston, TX",2011,17.83,Rail
"Houston, TX",2012,213.82,Non-Rail
"Houston, TX",2012,17.25,Rail
"Houston, TX",2013,213.63,Non-Rail
"Houston, TX",2013,21.00,Rail
"Houston, TX",2014,215.39,Non-Rail
"Houston, TX",2014,27.00,Rail
"Houston, TX",2015,215.36,Non-Rail
"Houston, TX",2015,44.67,Rail
"Houston, TX",2016,208.02,Non-Rail
"Houston, TX",2016,52.50,Rail
"Houston, TX",2017,204.73,Non-Rail
"Houston, TX",2017,53.50,Rail
"Houston, TX",2018,203.93,Non-Rail
"Houston, TX",2018,53.67,Rail
"Houston, TX",2019,209.36,Non-Rail
"Houston, TX",2019,52.17,Rail
"Houston, TX",2020,126.05,Non-Rail
"Houston, TX",2020,50.67,Rail
"Houston, TX",2021,97.67,Non-Rail
"Houston, TX",2021,30.67,Rail
"Huntington, WV-KY-OH",2011,13.22,Non-Rail
"Huntington, WV-KY-OH",2012,18.00,Non-Rail
"Huntington, WV-KY-OH",2013,18.42,Non-Rail
"Huntington, WV-KY-OH",2014,18.25,Non-Rail
"Huntington, WV-KY-OH",2015,18.25,Non-Rail
"Huntington, WV-KY-OH",2016,18.08,Non-Rail
"Huntington, WV-KY-OH",2017,17.42,Non-Rail
"Huntington, WV-KY-OH",2018,16.13,Non-Rail
"Huntington, WV-KY-OH",2019,15.83,Non-Rail
"Huntington, WV-KY-OH",2020,15.38,Non-Rail
"Huntington, WV-KY-OH",2021,15.17,Non-Rail
"Huntsville, AL",2011,13.50,Non-Rail
"Huntsville, AL",2012,14.50,Non-Rail
"Huntsville, AL",2013,14.50,Non-Rail
"Huntsville, AL",2014,15.83,Non-Rail
"Huntsville, AL",2015,15.58,Non-Rail
"Huntsville, AL",2016,16.00,Non-Rail
"Huntsville, AL",2017,16.00,Non-Rail
"Huntsville, AL",2018,16.00,Non-Rail
"Huntsville, AL",2019,16.00,Non-Rail
"Huntsville, AL",2020,16.00,Non-Rail
"Huntsville, AL",2021,16.00,Non-Rail
"Idaho Falls, ID",2011,13.08,Non-Rail
"Indianapolis, IN",2011,60.81,Non-Rail
"Indianapolis, IN",2012,66.58,Non-Rail
"Indianapolis, IN",2013,94.46,Non-Rail
"Indianapolis, IN",2014,98.25,Non-Rail
"Indianapolis, IN",2015,95.58,Non-Rail
"Indianapolis, IN",2016,98.46,Non-Rail
"Indianapolis, IN",2017,101.08,Non-Rail
"Indianapolis, IN",2018,51.02,Non-Rail
"Indianapolis, IN",2019,50.36,Non-Rail
"Indianapolis, IN",2020,38.24,Non-Rail
"Indianapolis, IN",2021,34.09,Non-Rail
"Indio-Cathedral City, CA",2011,32.42,Non-Rail
"Indio-Cathedral City, CA",2012,34.75,Non-Rail
"Indio-Cathedral City, CA",2013,35.71,Non-Rail
"Indio-Cathedral City, CA",2014,39.92,Non-Rail
"Indio-Cathedral City, CA",2015,41.08,Non-Rail
"Indio-Cathedral City, CA",2016,42.46,Non-Rail
"Indio-Cathedral City, CA",2017,36.86,Non-Rail
"Indio-Cathedral City, CA",2018,30.31,Non-Rail
"Indio-Cathedral City, CA",2019,31.53,Non-Rail
"Indio-Cathedral City, CA",2020,28.97,Non-Rail
"Indio-Cathedral City, CA",2021,22.33,Non-Rail
"Iowa City, IA",2011,14.78,Non-Rail
"Iowa City, IA",2012,15.37,Non-Rail
"Iowa City, IA",2013,15.45,Non-Rail
"Iowa City, IA",2014,15.50,Non-Rail
"Iowa City, IA",2015,15.42,Non-Rail
"Iowa City, IA",2016,15.05,Non-Rail
"Iowa City, IA",2017,14.09,Non-Rail
"Iowa City, IA",2018,13.94,Non-Rail
"Iowa City, IA",2019,12.21,Non-Rail
"Iowa City, IA",2020,10.56,Non-Rail
"Iowa City, IA",2021,10.67,Non-Rail
"Ithaca, NY",2011,21.17,Non-Rail
"Ithaca, NY",2012,21.92,Non-Rail
"Ithaca, NY",2013,21.64,Non-Rail
"Ithaca, NY",2014,21.72,Non-Rail
"Ithaca, NY",2015,20.86,Non-Rail
"Ithaca, NY",2016,23.87,Non-Rail
"Ithaca, NY",2017,30.21,Non-Rail
"Ithaca, NY",2018,30.33,Non-Rail
"Ithaca, NY",2019,29.92,Non-Rail
"Ithaca, NY",2020,23.25,Non-Rail
"Ithaca, NY",2021,26.75,Non-Rail
"Jackson, MI",2011,11.92,Non-Rail
"Jackson, MI",2012,8.69,Non-Rail
"Jackson, MI",2013,9.00,Non-Rail
"Jackson, MI",2014,7.47,Non-Rail
"Jackson, MI",2015,7.58,Non-Rail
"Jackson, MI",2016,9.29,Non-Rail
"Jackson, MI",2017,9.92,Non-Rail
"Jackson, MI",2018,9.13,Non-Rail
"Jackson, MI",2019,8.25,Non-Rail
"Jackson, MI",2020,7.38,Non-Rail
"Jackson, MI",2021,7.50,Non-Rail
"Jackson, MS",2011,15.50,Non-Rail
"Jackson, MS",2012,13.83,Non-Rail
"Jackson, MS",2013,16.13,Non-Rail
"Jackson, MS",2014,20.21,Non-Rail
"Jackson, MS",2015,13.42,Non-Rail
"Jackson, MS",2016,13.25,Non-Rail
"Jackson, MS",2017,12.83,Non-Rail
"Jackson, MS",2018,12.33,Non-Rail
"Jackson, MS",2019,12.63,Non-Rail
"Jackson, MS",2020,12.96,Non-Rail
"Jackson, MS",2021,13.50,Non-Rail
"Jackson, TN",2011,6.50,Non-Rail
"Jackson, TN",2012,6.50,Non-Rail
"Jackson, TN",2013,6.83,Non-Rail
"Jackson, TN",2014,7.08,Non-Rail
"Jackson, TN",2015,7.17,Non-Rail
"Jackson, TN",2016,7.54,Non-Rail
"Jackson, TN",2017,7.54,Non-Rail
"Jackson, TN",2018,7.63,Non-Rail
"Jackson, TN",2019,8.13,Non-Rail
"Jackson, TN",2020,8.08,Non-Rail
"Jackson, TN",2021,8.50,Non-Rail
"Jacksonville, FL",2011,70.00,Non-Rail
"Jacksonville, FL",2012,74.82,Non-Rail
"Jacksonville, FL",2012,5.00,Rail
"Jacksonville, FL",2013,109.96,Non-Rail
"Jacksonville, FL",2013,5.00,Rail
"Jacksonville, FL",2014,118.54,Non-Rail
"Jacksonville, FL",2014,5.00,Rail
"Jacksonville, FL",2015,67.63,Non-Rail
"Jacksonville, FL",2015,5.00,Rail
"Jacksonville, FL",2016,56.81,Non-Rail
"Jacksonville, FL",2016,5.00,Rail
"Jacksonville, FL",2017,53.90,Non-Rail
"Jacksonville, FL",2017,5.00,Rail
"Jacksonville, FL",2018,71.22,Non-Rail
"Jacksonville, FL",2018,5.00,Rail
"Jacksonville, FL",2019,67.65,Non-Rail
"Jacksonville, FL",2019,5.00,Rail
"Jacksonville, FL",2020,45.08,Non-Rail
"Jacksonville, FL",2020,5.00,Rail
"Jacksonville, FL",2021,51.15,Non-Rail
"Jacksonville, FL",2021,5.00,Rail
"Janesville, WI",2011,7.00,Non-Rail
"Janesville, WI",2012,7.13,Non-Rail
"Janesville, WI",2013,7.50,Non-Rail
"Jefferson City, MO",2011,8.17,Non-Rail
"Johnson City, TN",2011,12.33,Non-Rail
"Johnson City, TN",2017,53.17,Non-Rail
"Johnson City, TN",2018,52.58,Non-Rail
"Johnson City, TN",2019,49.42,Non-Rail
"Johnson City, TN",2020,36.92,Non-Rail
"Johnson City, TN",2021,39.00,Non-Rail
"Johnstown, PA",2011,24.50,Non-Rail
"Johnstown, PA",2011,2.00,Rail
"Johnstown, PA",2012,33.60,Non-Rail
"Johnstown, PA",2012,2.00,Rail
"Johnstown, PA",2013,34.60,Non-Rail
"Johnstown, PA",2013,2.00,Rail
"Johnstown, PA",2014,29.96,Non-Rail
"Johnstown, PA",2014,2.00,Rail
"Johnstown, PA",2015,25.08,Non-Rail
"Johnstown, PA",2015,2.00,Rail
"Johnstown, PA",2016,25.08,Non-Rail
"Johnstown, PA",2016,2.00,Rail
"Johnstown, PA",2017,24.63,Non-Rail
"Johnstown, PA",2017,2.00,Rail
"Johnstown, PA",2018,24.00,Non-Rail
"Johnstown, PA",2018,2.00,Rail
"Johnstown, PA",2019,23.67,Non-Rail
"Johnstown, PA",2019,2.00,Rail
"Johnstown, PA",2020,21.50,Non-Rail
"Johnstown, PA",2020,2.00,Rail
"Johnstown, PA",2021,21.33,Non-Rail
"Kahului, HI",2012,25.67,Non-Rail
"Kahului, HI",2013,26.00,Non-Rail
"Kahului, HI",2014,26.69,Non-Rail
"Kahului, HI",2015,25.69,Non-Rail
"Kahului, HI",2016,24.75,Non-Rail
"Kahului, HI",2017,24.69,Non-Rail
"Kahului, HI",2018,22.81,Non-Rail
"Kahului, HI",2019,22.94,Non-Rail
"Kahului, HI",2020,18.28,Non-Rail
"Kahului, HI",2021,17.33,Non-Rail
"Kalamazoo, MI",2011,25.50,Non-Rail
"Kalamazoo, MI",2012,24.69,Non-Rail
"Kalamazoo, MI",2013,25.50,Non-Rail
"Kalamazoo, MI",2014,34.38,Non-Rail
"Kalamazoo, MI",2015,33.50,Non-Rail
"Kalamazoo, MI",2016,34.08,Non-Rail
"Kalamazoo, MI",2017,36.13,Non-Rail
"Kalamazoo, MI",2018,35.00,Non-Rail
"Kalamazoo, MI",2019,36.58,Non-Rail
"Kalamazoo, MI",2020,34.63,Non-Rail
"Kalamazoo, MI",2021,34.50,Non-Rail
"Kankakee, IL",2011,7.00,Non-Rail
"Kankakee, IL",2012,7.00,Non-Rail
"Kankakee, IL",2013,7.25,Non-Rail
"Kankakee, IL",2014,5.67,Non-Rail
"Kankakee, IL",2015,5.58,Non-Rail
"Kankakee, IL",2016,5.56,Non-Rail
"Kankakee, IL",2017,5.33,Non-Rail
"Kankakee, IL",2018,5.67,Non-Rail
"Kankakee, IL",2019,5.67,Non-Rail
"Kankakee, IL",2020,5.47,Non-Rail
"Kankakee, IL",2021,5.33,Non-Rail
"Kansas City, MO-KS",2011,45.21,Non-Rail
"Kansas City, MO-KS",2012,49.82,Non-Rail
"Kansas City, MO-KS",2013,37.93,Non-Rail
"Kansas City, MO-KS",2014,37.11,Non-Rail
"Kansas City, MO-KS",2015,37.14,Non-Rail
"Kansas City, MO-KS",2016,37.20,Non-Rail
"Kansas City, MO-KS",2016,3.13,Rail
"Kansas City, MO-KS",2017,37.33,Non-Rail
"Kansas City, MO-KS",2017,3.50,Rail
"Kansas City, MO-KS",2018,39.27,Non-Rail
