UZAName,Year,Average of VOMS,Category
"Baton Rouge, LA",2020,30.88,Non-Rail
"Battle Creek, MI",2011,7.25,Non-Rail
"Bay City, MI",2011,28.50,Non-Rail
"Bay City, MI",2012,29.50,Non-Rail
"Bay City, MI",2013,29.88,Non-Rail
"Bay City, MI",2014,31.00,Non-Rail
"Bay City, MI",2015,29.75,Non-Rail
"Bay City, MI",2016,26.00,Non-Rail
"Bay City, MI",2017,26.00,Non-Rail
"Bay City, MI",2018,26.00,Non-Rail
"Bay City, MI",2019,26.00,Non-Rail
"Bay City, MI",2020,19.70,Non-Rail
"Bay City, MI",2021,14.00,Non-Rail
"Beaumont, TX",2011,9.00,Non-Rail
"Beaumont, TX",2012,9.00,Non-Rail
"Beaumont, TX",2013,9.00,Non-Rail
"Beaumont, TX",2014,9.00,Non-Rail
"Beaumont, TX",2015,9.00,Non-Rail
"Beaumont, TX",2016,9.00,Non-Rail
"Beaumont, TX",2017,9.00,Non-Rail
"Beaumont, TX",2018,9.00,Non-Rail
"Beaumont, TX",2019,9.00,Non-Rail
"Beaumont, TX",2020,9.00,Non-Rail
"Beaumont, TX",2021,9.17,Non-Rail
"Bellingham, WA",2011,22.73,Non-Rail
"Bellingham, WA",2012,23.50,Non-Rail
"Bellingham, WA",2013,23.75,Non-Rail
"Bellingham, WA",2014,26.00,Non-Rail
"Bellingham, WA",2015,25.52,Non-Rail
"Bellingham, WA",2016,24.77,Non-Rail
"Bellingham, WA",2017,26.58,Non-Rail
"Bellingham, WA",2018,27.08,Non-Rail
"Bellingham, WA",2019,25.27,Non-Rail
"Bellingham, WA",2020,21.17,Non-Rail
"Bellingham, WA",2021,23.33,Non-Rail
"Beloit, WI-IL",2011,5.50,Non-Rail
"Bend, OR",2011,8.67,Non-Rail
"Bend, OR",2012,11.13,Non-Rail
"Bend, OR",2013,9.85,Non-Rail
"Bend, OR",2014,9.02,Non-Rail
"Bend, OR",2015,8.19,Non-Rail
"Bend, OR",2016,8.22,Non-Rail
"Bend, OR",2017,8.12,Non-Rail
"Bend, OR",2018,8.13,Non-Rail
"Bend, OR",2019,8.43,Non-Rail
"Bend, OR",2020,6.58,Non-Rail
"Bend, OR",2021,7.47,Non-Rail
"Benton Harbor-St. Joseph-Fair Plain, MI",2011,11.50,Non-Rail
"Billings, MT",2011,15.50,Non-Rail
"Billings, MT",2012,15.50,Non-Rail
"Billings, MT",2013,15.50,Non-Rail
"Billings, MT",2014,15.50,Non-Rail
"Billings, MT",2015,15.50,Non-Rail
"Billings, MT",2016,15.50,Non-Rail
"Billings, MT",2017,15.50,Non-Rail
"Billings, MT",2018,14.92,Non-Rail
"Billings, MT",2019,14.00,Non-Rail
"Billings, MT",2020,12.96,Non-Rail
"Billings, MT",2021,13.67,Non-Rail
"Binghamton, NY-PA",2011,13.90,Non-Rail
"Binghamton, NY-PA",2012,14.00,Non-Rail
"Binghamton, NY-PA",2013,18.14,Non-Rail
"Binghamton, NY-PA",2014,18.33,Non-Rail
"Binghamton, NY-PA",2015,17.14,Non-Rail
"Binghamton, NY-PA",2016,15.78,Non-Rail
"Binghamton, NY-PA",2017,17.75,Non-Rail
"Binghamton, NY-PA",2018,17.44,Non-Rail
"Binghamton, NY-PA",2019,17.25,Non-Rail
"Binghamton, NY-PA",2020,15.50,Non-Rail
"Binghamton, NY-PA",2021,14.67,Non-Rail
"Birmingham, AL",2011,41.28,Non-Rail
"Birmingham, AL",2012,41.81,Non-Rail
"Birmingham, AL",2013,41.50,Non-Rail
"Birmingham, AL",2014,41.67,Non-Rail
"Birmingham, AL",2015,42.36,Non-Rail
"Birmingham, AL",2016,44.06,Non-Rail
"Birmingham, AL",2017,42.92,Non-Rail
"Birmingham, AL",2018,42.33,Non-Rail
"Birmingham, AL",2019,42.78,Non-Rail
"Birmingham, AL",2020,42.11,Non-Rail
"Birmingham, AL",2021,39.33,Non-Rail
"Bismarck, ND",2011,16.96,Non-Rail
"Bismarck, ND",2012,13.67,Non-Rail
"Bismarck, ND",2013,13.67,Non-Rail
"Blacksburg, VA",2011,17.88,Non-Rail
"Blacksburg, VA",2012,18.54,Non-Rail
"Blacksburg, VA",2013,18.83,Non-Rail
"Blacksburg, VA",2014,18.58,Non-Rail
"Blacksburg, VA",2015,18.42,Non-Rail
"Blacksburg, VA",2016,17.92,Non-Rail
"Blacksburg, VA",2017,19.17,Non-Rail
